"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Caroeas 22"" Rolling Slim Laundry Basket with Stand Foldable Waterproof Sorter and Organizer on Wheels Tall Thin Dirty Laundry Hamper Basket Home Corner Bin (Slim 22"",Grey)","B0772Q2MPL","Caroeas","$17.98","8,755","157,414.90","1,102","$8.38",2,4.3,19904,9,487,"Caroeas","Home & Kitchen","Large Standard-Size","FBA","8.5x16.8x2.0",1.50,"n/a"
"Muti-Purpose Gym Storage Rack Barbell Rack, Gym Rack Wall Mount Resistance Bands Rack with 11 Hooks for Lifting Belt and Jump Rope Storage","B08W3ZS5WL","Haocute","$36.88",27,995.76,"330,233","$15.33",2,5.0,11,6,3,"Haocute","Sports & Outdoors","Small Oversize","FBA","5.5x24.0x3.4",4.00,"2/7/2021"
"Marcy Combo Weights Storage Rack for Dumbbells, Kettlebells, and Weight Plates DBR-0117","B00XHD9BHA","Marcy","$99.99","1,055","105,489.45","5,817","$38.46",19,4.6,3889,7,46,"Amazon","Sports & Outdoors","Small Oversize","FBA","12.4x38.4x5.5",40.00,"7/15/2015"
"Amazon Basics 4-Shelf Adjustable, Heavy Duty Storage Shelving Unit (350 lbs loading capacity per shelf), Steel Organizer Wire Rack, Chrome (36L x 14W x 54H)","B00NUS53CY","Amazon Basics","$69.82","27,875","1,946,232.50",31,"$29.39",2,4.7,87740,5,"1,601","Amazon","Tools & Home Improvement","Small Oversize","FBA","14.6x36.4x6.8",27.21,"n/a"
"Motivational Saying Art Print，Inspirational Chalkboard Word Art Prints, Watercolor Motivational Words & Saying Wall Art Poster Set Of 4(8”X10”, Unframed), Canvas Painting Poster For Gym,Exercise Classroom Decor","B089XZTDH2","HLNIUC","$13.99",41,573.59,"344,155","$4.59",1,4.3,119,6,1,"HLNIUC","Home & Kitchen","Small Standard-Size","FBA","8.9x11.0x0.2",0.19,"6/10/2020"
"Sunny Health & Fitness All-in-One Weights Storage Rack Stand - SF-XF920025","B08T4Q3GKL","Sunny Health & Fitness","$349.99",10,"3,499.90","430,260","$151.38",2,4.2,8,9,1,"Amazon","Sports & Outdoors","Large Oversize","AMZ","30.0x57.0x8.0",116.80,"1/14/2021"
"MyGift Wall-Mounted Vintage Gray Wood 3-Tier Foam Roller/Yoga Mat Storage Rack","B07MKZM3ZN","MyGift","$47.50",14,665.00,"153,255","$17.67",1,4.4,94,6,0,"MyGift","Sports & Outdoors","Small Oversize","FBA","13.9x26.5x2.0",6.65,"1/1/2019"
"($) LivWins - Mail Holder for Wall, Key Holder for Wall, Wall Mount Organizer, Floating Shelf with Key Hooks for Entryway, Storage, Living Room, Kitchen (Rustic White)","B08M8XSBZN","LIVWINS","$23.99",63,"1,511.37","365,240","$14.16",3,4.6,150,8,4,"LivWins","Home & Kitchen","Small Oversize","FBA","10.7x18.3x3.7",2.85,"10/31/2020"
"($) 4NM No-Assembly Folding Bookshelf Storage Shelves 4 Tiers with 2 Storage Drawers Vintage Bookcase Standing Racks Study Organizer Home Office (Natural and Black)","B08YYNRJXZ","4NM","$109.99",264,"29,037.36","51,094","$37.54",1,4.8,754,7,9,"DAOKEDAO","Home & Kitchen","Small Oversize","FBA","24.4x55.1x2.8",30.86,"11/21/2019"
"($) Lovelygift4you Wooden Wall Clock Sports Bodybuilding Gifts for Men Women him her Husband Home Decor Art Decorations Powerlifting Fitness Crossfit Weightlifting Strongman Armwrestling Gym","B08533TNJY","Lovelygift4you","$35.00",7,245.00,"1,269,942","$8.72",2,4.0,5,2,0,"Lovelygift4you","Home & Kitchen","Large Standard-Size","FBA","12.6x13.0x2.9",0.25,"1/13/2019"
"($) Corner Shelves Set of 3(11.8inch,9.8 inch,7.8 inch),Radial Round Edging Bamboo Storage Shelf Organizer Corner for Bedroom,Living Room,Bathroom,Kitchen,Office Any Corner (Bamboo Color)","B07MNLY8FX","Generic","$27.99",13,363.87,"1,046,358","$10.48",3,4.2,106,8,1,"Orchids-purple","Home & Kitchen","Large Standard-Size","FBA","12.2x12.7x2.5",4.55,"n/a"
"($) IRON AMERICAN Omega Gym Storage Rack 9 OR 11 Hook Heavy-Duty USA Steel Organizer Wall Mount Hanger, Workout Equipment Resistance Bands Jump Rope Storage","B01M3RP2PD","IRON AMERICAN","$48.95",342,"16,740.90","17,746","$19.80",1,4.8,579,7,3,"IRON AMERICAN LLC","Sports & Outdoors","Small Oversize","FBA","12.2x21.2x5.5",6.31,"5/11/2020"
