"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"VIVO Electric Height Adjustable 60 x 24 inch Stand Up Desk, Dark Walnut Solid One-Piece Table Top, White Frame Standing Workstation, Home & Office Furniture Sets, DESK-KIT-W06D","B0829DGKWS","VIVO","$269.99",952,"257,030.48","6,571","$65.65",1,4.7,1534,9,52,"V I V O","Office Products","Small Oversize","MFN","11.0x32.8x6.5",50.20,"12/3/2019"
"BilBil 55 x 24 Inches Height Adjustable Electric Standing Desk, Ergonomic Sit Stand Uplift Table with Anti-Collision Technology and Current Protection, Splice Board, Black Frame/Rustic Brown Top","B09C8M7JZS","bilbil","$219.99",96,"21,119.04","488,010","$63.08",1,5.0,1,7,0,"BilBil","Home & Kitchen","Small Oversize","FBA","15.0x45.0x8.0",60.00,"8/10/2021"
"FLEXISPOT Height Adjustable Drafting Table, Electric Standing Desk with Storage Drawers for Writing Drawing Crafting Working, 47.2""W x 23.6""D Angle Adjustable Top, Foldable Puzzle Craft Artist Table","B094HWZ3NN","FLEXISPOT","$399.99",9,"3,599.91","608,148","n/a",1,4.8,6,8,1,"FlexiSpot","Home & Kitchen","n/a","MFN","n/a","n/a","5/19/2021"
"AVIX Standing Desk, 4 Memory Electric Height Adjustable Desk,60"" x 30"" Whole Piece Stand up Desk Home Office Desks White","B08ZCHNZQD","AVIX","$479.89",73,"35,031.97","196,266","n/a",1,4.8,307,8,6,"AVIX Innovations","Home & Kitchen","n/a","MFN","n/a","n/a","3/18/2021"
"Vari Essential Electric Standing Desk 48"" x 24"" - Height Adjustable Sit to Stand Desk for The Home Office - Solid Top Desktop with Stable T-Style Legs (Black)","B09F1DJ7DT","Vari","$499.99",926,"462,990.74","19,169","n/a",1,4.9,822,6,16,"Vari.","Home & Kitchen","n/a","MFN","n/a","n/a","8/19/2021"
"Electric Height Adjustable Standing Desk, 48 x 24 Inch Stand Up Desk Workstation with Desktop (03, Black)","B08SW4MC4W","BEASHINY","$169.99",170,"28,898.30","17,720","$64.17",1,4.5,84,8,6,"BEASHINY Direct","Office Products","Medium Oversize","FBA","16.0x51.0x8.0",71.00,"1/13/2021"
"VIVO Electric Height Adjustable 60 x 24 inch Memory Stand Up Desk, Black Solid One-Piece Table Top, Black Frame, Standing Workstation with Preset Controller, DESK-KIT-1B6B","B07V6ZSHF4","VIVO","$309.99",334,"103,536.66","11,373","$76.06",1,4.7,1117,8,-865,"V I V O","Office Products","Small Oversize","MFN","11.3x45.0x8.8",56.00,"7/12/2019"
"SDADI 2 Inches Carpet Wheels Mobile Standing Desk Stand Up Desk Height Adjustable Home Office Desk with Standing and Seating 2 Modes 3.0 Edition, Dark Grain S001WFDT","B01B9OO010","SDADI","$69.99",587,"41,084.13","53,957","$29.42",5,4.4,2231,9,33,"Sdadi","Home & Kitchen","Small Oversize","FBA","23.2x27.9x4.4",27.05,"1/30/2016"
"FEZIBO Dual Motor Height Adjustable Electric Standing Desk with Keyboard Tray, 48 x 24 Inch Sit Stand Table with Splice Board, White Frame/Natural and White Top","B08B4M3NV6","FEZIBO","$299.99",626,"187,793.74","16,106","$81.01",4,4.3,3458,9,-106,"Tyhoe","Home & Kitchen","Medium Oversize","FBA","16.0x32.0x7.0",77.00,"6/13/2020"
"FENGE Height Adjustable Standing Desk Converter 36"" Wide Sit to Stand Up Desk with Organizer Area for Dual Monitors SD360001WB","B07ZH3SGCZ","Fenge","$104.99",222,"23,307.78","28,649","$41.13",1,4.7,276,6,8,"Dropship Shopping Centre","Office Products","Small Oversize","MFN","22.5x39.5x7.0",31.80,"10/23/2019"
"SHW Memory Preset Electric Height Adjustable Standing Desk, 48 x 24 Inches, Black","B07MBR8N89","SHW","$228.87","5,041","1,153,733.67","43,504","$67.39",4,4.5,2223,6,"-11,273","EPFamily Direct","Home & Kitchen","Small Oversize","FBA","16.7x48.0x6.7",68.34,"1/4/2019"
"Flexispot EN1 Electric White Stand Up Desk Workstation with 48 x 30 Inches Whole-Piece Desktop Ergonomic Memory Controller Adjustable Height Standing Desk Primo(White Frame + 48"" White Desktop)","B07W8W8XKV","FLEXISPOT","$299.99","1,110","332,988.90","21,270","$94.27",2,4.6,2277,9,38,"FlexiSpot","Home & Kitchen","n/a","MFN","n/a",111.00,"8/14/2019"
"Autonomous Smart Hybrid Dual Motor Electric Standing Desk Frame Classic Top, 28""-47"" Height Range, 39""-70"" Length Range, White-Black","B07ZH792CQ","Autonomous","$870.99",222,"193,359.78","342,648","$152.47",2,4.7,82,5,5,"Amazon","Home & Kitchen","Medium Oversize","AMZ","13.0x43.0x10.0",111.00,"n/a"
"FAMISKY Standing Desk Dual Motors, Adjustable Height Electric Stand up Desk with Footrest, 55 x 24 Inches Sit Stand Home Office Desk, Ergonomic Workstation Black Steel Frame/Rustic Brown Wood Top","B08HMSJT62","FAMISKY","$329.99",297,"98,007.03","56,442","$77.88",2,4.4,269,8,11,"EleTab","Home & Kitchen","Small Oversize","FBA","16.5x57.5x8.3",69.22,"9/8/2020"
"($) Amazon Basics Classic Home Office Computer Desk With Shelves - 29.5 x 19.6 x 35.5 Inches, Black","B07PVL2N3D","Amazon Basics","$43.59","8,568","373,479.12",778,"$25.69",5,4.5,5535,6,444,"Amazon","Home & Kitchen","Small Oversize","AMZ","21.4x40.6x4.5",25.90,"6/25/2019"
"($) SHW Memory Preset Electric Height Adjustable Standing Desk, 48 x 24 Inches, Black","B07MBR8N89","SHW","$228.87","5,041","1,153,733.67","43,504","$67.39",4,4.5,2223,6,"-11,273","EPFamily Direct","Home & Kitchen","Small Oversize","FBA","16.7x48.0x6.7",68.34,"1/4/2019"
"($) FEZIBO Crank Adjustable Height Standing Desk, 48 x 24 Inches Manual Stand up Desk, Sit Stand Desk with Handle, Home Office Desk with Walnut Top and Black Frame","B092JQL1MV","FEZIBO","$159.99",296,"47,357.04","104,621","$52.42",1,4.1,6,8,4,"FEZIBO","Home & Kitchen","Small Oversize","MFN","14.0x49.0x7.0",53.00,"4/14/2021"
