"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Giftgarden Floating Shelves for Wall with Unique Adorable Bears Cutouts, Rustic Wooden Iron Wall Shelf Bear Decor for Bathroom Cabin Lodge Bedroom Kitchen Living Room Nursery, Black, Set of 2","B087RFZPG6","Giftgarden","$23.89",608,"14,525.12","31,749","$9.72",2,4.8,1006,7,41,"GIFT GARDEN","Home & Kitchen","Large Standard-Size","FBA","6.7x16.5x5.9",3.31,"n/a"
"Shelving Solution 4-inch Floating Wall Shelves Set of 3, White","B07CGDXJ2G","Shelving Solution","$14.99",689,"10,328.11","31,883","$7.20",1,4.3,3187,6,60,"Healthy Lifee","Home & Kitchen","Large Standard-Size","FBA","3.7x4.9x3.5",1.48,"n/a"
"ROOREVO Floating Shelves Wall Mounted, Wood Wall Shelves , Rustic Wall Decor for Bathroom, Bedroom, Living Room, Kitchen，Set of 3…","B08DG6ND2T","ROOREVO","$22.99",90,"2,069.10","70,779","$9.43",1,4.1,6,6,3,"ROOREVO Design","Home & Kitchen","Large Standard-Size","FBA","5.6x17.8x3.6",3.45,"7/22/2020"
"BIROLA White Floating Shelves,Crown Molding Wall Mounted Mantle Shelf of Molding Ledge Shelves Set of 2, 17 Inch(White)","B083Z3CR8H","BIROLA","$25.99",455,"11,825.45","54,009","$10.57",1,4.5,665,8,10,"jiangcy123","Home & Kitchen","Large Standard-Size","FBA","4.7x17.5x4.3",2.95,"n/a"
"3 Set Pre-Installed Floating Shelves, Wall Mounted Storage Wood Shelf with Towel Rack, Rustic Decor Accessories for Bathroom, Kitchen, Bedroom, Office, Over Toilet - Brown","B08PB8BYS3","AOZITA","$21.99","1,280","28,147.20","20,783","$9.88",1,4.6,447,8,99,"Aozita","Home & Kitchen","Large Standard-Size","FBA","6.8x17.2x4.7",5.05,"11/30/2020"
"Floating Shelves Wall Shelf Solid Wood for Bathroom Bedroom Kitchen Wall Decor Set of 3, Black Wall Shelves","B0994QB3RG","SAUMONIERES","$29.98",51,"1,528.98","39,376","$11.08",1,5.0,2,7,0,"Saumonieres","Home & Kitchen","Large Standard-Size","FBA","8.1x17.8x3.3",5.22,"7/11/2021"
"WELLAND 8"" Deep Floating Shelves Wall Mounted Shelf (White, 16inch)","B076D27HN4","WELLAND","$29.99",218,"6,537.82","112,664","$10.78",2,4.4,588,9,5,"WELLAND","Home & Kitchen","Large Standard-Size","FBA","10.9x17.5x2.9",3.04,"n/a"
"Mkono Rustic Wood Floating Shelves Wall Mounted Shelving Set of 2 Decorative Wall Storage Shelves with Lip Brackets for Bedroom, Living Room, Bathroom, Kitchen, Hallway, Office","B083QCF3ZW","Mkono","$24.99","1,164","29,088.36","11,592","$9.73",1,4.6,1061,8,38,"Mkono","Home & Kitchen","Large Standard-Size","FBA","6.1x17.2x4.4",3.45,"1/10/2020"
"($) Amazon Brand – Rivet Modern Hexagon Honeycomb Floating Wall Shelf Unit with Glass Shelves - 28 x 28 x 6 Inch, Gold","B07HSPHZXD","Rivet","$59.49",316,"18,798.84","57,047","$39.01",3,4.8,574,5,13,"Amazon","Home & Kitchen","Medium Oversize","AMZ","30.5x31.0x7.0",11.05,"n/a"
"($) Willow & Grace Floating Shelf Set - Wood Floating Shelves Set of 2 with Gold Iron Corners, All Wood Wall Shelves - Bedroom, Bathroom, Kitchen | Dark Walnut (36"" Set of 2)","B0959NMJXH","WG WILLOW & GRACE DESIGNS","$79.36","1,219","96,739.84","17,909","$24.74",1,4.5,2297,7,58,"Spreetail","Home & Kitchen","Small Oversize","MFN","6.6x36.5x2.9",11.15,"6/11/2021"
"($) Floating Wall Shelves with Brackets, Solid Wood, Rustic Wall Mounted Large Shelving Storage, for Kitchens, Bathrooms, Bedrooms, Living Rooms, Farmhouse Wall Décor, 17"" x 11"", Set of 2","B07V71GQ4W","Bleecker Station","$39.95",28,"1,118.60","369,211","$13.17",2,4.6,173,7,2,"Bleecker Station","Home & Kitchen","Large Standard-Size","FBA","12.3x17.8x4.6",6.30,"n/a"
"($) Metal Storage Wall Mounted Shelves Floating Shelf for Kitchen Bathroom Bedroom Living Room Set of 2 Brushed Grey 0947RZ","B08G432ZPR","RUIDOZ","$24.99",3,74.97,"1,099,903","$10.93",1,4.0,19,6,0,"RUIDOZ","Home & Kitchen","Large Standard-Size","FBA","7.9x17.7x7.6",2.50,"8/18/2020"
