,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
37,"farexon Electric Standing Desk Adjustable Height, 48”x 24‘’ Sit Stand Desk with Double Crossbeam Structure, Four Preset Heights, Current Protection Function, 27''-45'' Lifting Range Stand up Desk",B0952WRMNH,farexon,159.59,646.0,103095.14,74157.0,57.3,1,4.8,62.0,8,16.0,Yorongya,Home & Kitchen,Small Oversize,MFN,14.0x51.0x7.5,65.75,5/17/2021
38,"imlib Height Adjustable Electric Standing Desk, 60"" x 24"" Sit Stand Desk Home Office Workstation with Drawer, Memory Preset Computer Desk (Black Frame + Walnut Desktop)",B0962TT58V,imlib,299.99,24.0,7199.76,351909.0,76.72,1,,,7,0.0,Dake US Products,Home & Kitchen,Medium Oversize,FBA,14.5x61.5x7.0,66.0,7/16/2021
39,"SHW 36-Inch Height Adjustable Standing Desk Sit to Stand Riser Converter Workstation, Black",B08MHTR2TF,SHW,109.97,1682.0,184969.54,3653.0,40.36,1,4.6,320.0,8,33.0,EPFamily Direct,Office Products,Small Oversize,FBA,25.5x38.5x5.5,39.1,11/2/2020
40,"Flexispot Quick Install Standing Desk EC9 Electric Height Adjustable Desk for Home Office 48 x 24 Inches Sit Stand Desk Whole-Piece Desk Board VICI(White Frame + 48"" White Top)",B08KXW53KY,FLEXISPOT,299.99,451.0,135295.49,115099.0,82.18,6,4.7,1286.0,8,30.0,FlexiSpot,Home & Kitchen,Medium Oversize,FBA,29.0x51.0x7.0,80.0,10/9/2020
41,"FEZIBO Triple Motor L-Shaped Electric Standing Desk, 63 inches Height Adjustable Stand up Corner Desk, Sit Stand Workstation with Splice Board, Black Frame/Rustic Brown Top",B08N4PLY1X,FEZIBO,569.99,371.0,211466.29,66858.0,122.05,2,4.5,68.0,9,5.0,FEZIBO,Home & Kitchen,Medium Oversize,MFN,30.0x39.0x7.5,112.44,11/10/2020
42,"FLEXISPOT 32 inch Standing Desk Converter | Height Adjustable Stand Up Desk Riser, Black Home Office Desk Workstation for Dual Monitors and Laptop M732",B08GR1GR9T,FLEXISPOT,139.99,9254.0,1295467.46,472.0,43.72,5,4.8,8083.0,7,389.0,FlexiSpot,Office Products,Small Oversize,MFN,20.2x34.7x7.5,35.25,5/15/2020
43,"VIVO Electric Height Adjustable 60 x 24 inch Stand Up Desk, Dark Walnut Solid One-Piece Table Top, White Frame Standing Workstation, Home & Office Furniture Sets, DESK-KIT-W06D",B0829DGKWS,VIVO,269.99,952.0,257030.48,6571.0,65.65,1,4.7,1534.0,9,52.0,V I V O,Office Products,Small Oversize,MFN,11.0x32.8x6.5,50.2,12/3/2019
44,"BilBil 55 x 24 Inches Height Adjustable Electric Standing Desk, Ergonomic Sit Stand Uplift Table with Anti-Collision Technology and Current Protection, Splice Board, Black Frame/Rustic Brown Top",B09C8M7JZS,bilbil,219.99,96.0,21119.04,488010.0,63.08,1,5.0,1.0,7,0.0,BilBil,Home & Kitchen,Small Oversize,FBA,15.0x45.0x8.0,60.0,8/10/2021
45,"FLEXISPOT Height Adjustable Drafting Table, Electric Standing Desk with Storage Drawers for Writing Drawing Crafting Working, 47.2""W x 23.6""D Angle Adjustable Top, Foldable Puzzle Craft Artist Table",B094HWZ3NN,FLEXISPOT,399.99,9.0,3599.91,608148.0,,1,4.8,6.0,8,1.0,FlexiSpot,Home & Kitchen,,MFN,,,5/19/2021
46,"AVIX Standing Desk, 4 Memory Electric Height Adjustable Desk,60"" x 30"" Whole Piece Stand up Desk Home Office Desks White",B08ZCHNZQD,AVIX,479.89,73.0,35031.97,196266.0,,1,4.8,307.0,8,6.0,AVIX Innovations,Home & Kitchen,,MFN,,,3/18/2021
